step, reward
1981013,-901.0578640170299
1989013,-720.17296505782
1996923,-362.3114481509863
2004923,-350.1660017528171
2012784,-338.2770197538856
2020674,-331.2331134280406
2028674,-349.187254656405
2036585,-197.15980392558478
2044585,-176.1461474754327
2052585,-60.33837186241986
2060585,-219.62029990506403
2068439,-39.990308182563446
2076439,-151.8711996990744
2084439,-292.4986696059285
2092439,-282.9913235134884
2100439,-145.07683337864398
2108439,-65.58233673206348
2116439,-83.1408647870372
2124439,-50.94751268693559
2132439,-88.5659639709107
2140327,-53.41865813492064
2148327,-146.141882570828
2156327,-38.9272393673576
2164327,-38.53712727275164
2172056,-78.98796763831177
2180056,-166.2010393542407
2188056,-43.78065481148646
2196056,-188.16812822933798
2204056,-163.4210974407844
2212056,-186.05590279007083
2219682,-199.90400322454775
2227682,-247.6295519039441
2235665,-420.3863485915259
2243563,-392.745739270604
2251563,-324.15576207849796
2259563,-317.0571688988095
2267563,-540.6601652051528
2275563,-409.55571782178333
2283563,-136.69247991593846
2291109,-524.9422814852402
2298542,-120.73535615082392
2306542,-180.78052636501258
2314300,-84.56444002093502
2322300,-88.29037906491074
2330300,-123.40029761904972
2338300,-71.81572245597812
2346255,-122.16324602255787
2354255,-89.78953373035073
2362255,-181.9844940476191
2370255,-306.4456317790821
2378255,-309.84321375423934
2386255,-203.7789803249717
2394255,-183.1950055894799
2402255,-232.64631606246763
2410111,-343.98322916666655
2418111,-275.8955200178338
2426111,-69.66978572182975
2434111,-414.6469909714576
2441875,-193.52500000000012
2449875,-369.6326750565094
2457875,-766.0982073095438
2465875,-519.691074275069
2473875,-535.8864028747225
2481875,-176.26280462280124
2489875,-289.5501124869443
2497875,-458.5660785849957
